user_id,birthyear,weight,height,country,platform
bf203391-02dc-4776-9a3b-0a9f9ddf1d51,2003.0,57.0,156.0,United Kingdom,iOS
9610a846-04c8-46db-84be-b227c4fe0135,1998.0,68.0,154.0,Venezuela,iOS
03213520-499a-4222-bbba-39735ccc906b,1971.0,,,Argentina,Android
649f6414-1a57-4ed4-8360-439be1c49622,,,,Germany,iOS
079da540-1b1f-4d75-8544-43ef0e6154ec,1992.0,59.0,169.0,United States,iOS
4b20f54f-6dc9-44d6-b524-6cdc23e92164,2000.0,62.0,165.0,Colombia,Android
69b2c03f-5c11-4c89-9489-458e585bc1c7,1978.0,,,United Kingdom,Android
5e7b5209-b037-4803-bd79-0c7952c9814d,1986.0,60.0,170.0,United Kingdom,Android
a43ab950-aad8-4b4f-a65e-84a1d8319be4,,,,France,iOS
2cdff511-06cb-40ea-89bc-bc0d5d5101a4,1992.0,,,United Kingdom,iOS
a22499cc-05df-4e52-80cb-a559cb1f84c2,1997.0,,155.0,United States,Android
c0e82323-0ca5-4cf2-994b-c4f414e9953a,1999.0,,,Chile,iOS
1fbcee3c-776d-4386-9ad9-0ecd045edadb,1995.0,52.0,159.0,Russian Federation,Android
6355851c-5bb6-4a43-92eb-a129911e98a7,2001.0,46.0,163.0,Hong Kong,iOS
0ab8ef0c-7aba-4868-8619-c271907e1913,1988.0,58.0,164.0,United States,iOS
ef8a71d3-7ad0-41f5-b266-02d361869a59,1980.0,69.0,166.0,United States,iOS
ad95f993-5ee2-48b3-857c-ba99d24d5a4b,2004.0,,166.0,United States,iOS
dc2e46ea-1dbc-446e-8d77-4bf9844b2db2,1997.0,,,Mexico,iOS
2779998e-ba7e-4369-829d-711647e005c5,1982.0,,,Germany,iOS
2e9369cb-8236-4fcb-ae11-5c0531ed983d,2003.0,,,France,iOS
287c29bf-0e83-4307-ab1b-693528d823ae,1995.0,58.0,160.0,United States,iOS
cda85de4-a706-4465-a7bb-43663c7e2100,2004.0,,,Mexico,Android
949c5414-f438-4d03-813c-1dc9fd20f0f6,1987.0,68.0,172.0,United States,iOS
74f57b4d-ec29-4bdf-8051-bdd11c47c93b,2001.0,59.0,146.0,United States,Android
1f1ee82b-1222-4a65-a320-e8fe39fc4d1c,1989.0,,,United States,iOS
380cf11c-f6a4-4f9c-84a8-fd212a22ffae,1998.0,,158.0,United States,iOS
5ea56e35-2413-4740-8c56-e91496fa10bd,1994.0,59.0,157.0,United States,iOS
6711800e-dbc2-4cf1-a878-98684511a1f8,2004.0,74.0,144.0,United States,iOS
a0ebacf2-2e9a-4a46-802a-e140714277f0,,,,Mexico,Android
782f756d-75e4-43cb-b402-5b76c797d06e,1988.0,67.0,152.0,Netherlands,Android
61d32e54-2f37-4454-9b1b-e7668c923afe,1992.0,70.0,171.0,Czech Republic,iOS
d0434db8-9cbc-4684-87ae-da1f4b4741ea,1991.0,,,United States,iOS
ce41647c-b47c-41cd-a517-e1c8e673926c,1990.0,40.0,151.0,United States,Android
58227a69-9d21-47fc-9e3e-0d152dad9736,1990.0,64.0,147.0,United States,Android
1433ded0-e649-45e0-abda-692d53c85edf,2000.0,57.0,157.0,United States,iOS
7412be49-c3a7-48ad-b774-ccd574c2a840,1996.0,52.0,171.0,Australia,iOS
b2aefcb6-78a7-4a4a-83bf-2d1870526b16,1998.0,41.0,165.0,Austria,Android
8420a4c0-f514-4ae1-a363-6e5d098e9655,1987.0,41.0,165.0,Colombia,iOS
16d9ccc6-1d2c-4d1f-877a-b143d26f8c81,1998.0,,,Spain,iOS
60dc4c04-be54-46f0-b2c6-50a18ff6e33c,1985.0,53.0,164.0,United States,Android
45c537bd-2e1c-454b-8373-c87f95dabe52,2000.0,49.0,165.0,United States,iOS
e9ba8af0-ac08-4e69-b58a-6c629528a24b,,,,United States,Android
84a58560-4f1f-4c8d-9c42-f33581a72541,2002.0,,,Canada,iOS
5cfa264b-4cac-40aa-bc81-90cc348cb8b8,1980.0,,,Australia,Android
e60fb1b9-9ee2-4c9c-a6a4-ac1295969f7e,1998.0,56.0,168.0,Mexico,iOS
7f6ff28f-a64b-4f07-9fe2-1962422998b0,1994.0,84.0,164.0,Denmark,iOS
100ff892-ab63-49b2-90a6-9afc425106af,1998.0,57.0,157.0,Mexico,iOS
415a3431-a42e-4d17-bbee-773cad8826e8,1997.0,45.0,163.0,United States,iOS
